index,latitude,longitude,X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,date_updated,email,dis_status,POINT_X,POINT_Y
55,34.018019,-118.288829,-118.2888291,34.01801897,59954,211,,Arts and Recreation,Museums and Aquariums,,www.nhm.org,Los Angeles County Natural History Museum,900 Exposition Blvd.,,Los Angeles,CA,"Monday through Sunday, 9:30am to 5:00pm. ","Director Administrative (213) 763-3302, Security Central Service/Intake (213) 763-3416,  Information Only (213) 763-3466, Group Services Service/Intake (213) 763-3218, School Visits Service/Intake (213) 763-3333",www.nhm.org,,,61124,This is a natural history museum.,90007,http://egis3.lacounty.gov/lms/?p=61124,publish,2013/06/01 11:50:56+00,,,6474144.849,1829063.584
56,34.11929648,-118.3005599,-118.30056,34.11929645,60034,211,,Arts and Recreation,Museums and Aquariums,,www.griffithobservatory.org,Griffith Observatory,2800 E Observatory Rd,,Los Angeles,CA,,"General Information Service/Intake (213) 473-0800, Sky Report Information Only (213) 473-0880",www.griffithobservatory.org,,,61175,This is a public observatory and planetarium for people of all ages who are interested in astronomy and related sciences.,90027,http://egis3.lacounty.gov/lms/?p=61175,publish,2013/06/01 11:50:56+00,,,6470700.184,1865930.663
57,34.25260517,-118.2882768,-118.2882768,34.25260514,60950,LA County Chief Information Office,,Arts and Recreation,Museums and Aquariums,,Little Landers Historical Society,Bolton Hall Museum,10110 Commerce Ave,,Tujunga,CA,Sunday and Tuesday from 1:00pm to 4:00pm.,818-352-3420,http://www.littlelandershistoricalsociety.org/,,,62033,"Bolton Hall Museum is Los Angeles City Historic Monument #2.  The museum has permanent and rotating exhibits on the history of  Rancho Tujunga, which is now known as the communities of Sunland, Tujunga, Shadow Hills, Lake View Terrace and parts of Sun Valley.",91042,http://egis3.lacounty.gov/lms/?p=62033,publish,2011/10/28 10:13:19+00,littlelanders@verizon.net,,6474557.021,1914433.029
58,34.05039267,-118.063513,-118.0635131,34.05039264,60952,LA County Chief Information Office,,Arts and Recreation,Museums and Aquariums,,,American Military Museum,1918 Rosemead Blvd,Whittier Narrows Recreation Area,South El Monte,CA,Friday through Sunday only from 10:00AM to 4:30PM,(626) 442-1776,www.tankland.com,,,62193,"The American Military Museum has been collecting, preserving, restoring, and sharing the largest inter-service collection of military equipment in the Western United States for over 57 years.",91733,http://egis3.lacounty.gov/lms/?p=62193,publish,2011/10/28 10:13:11+00,Tankland@aol.com,,6542431.033,1840725.335
59,33.793472,-118.121691,-118.1216911,33.79347197,63248,211,,Arts and Recreation,Museums and Aquariums,,,"City Of Long Beach Department Of Parks, Recreation And Marine - Rancho Los Alamitos",5400 Bixby Hill Rd.,,Long Beach,CA,"Monday through Friday, 12:00 noon to 6:00pm; Saturday, 12:00 noon  to 4:00pm. ",Service/Intake (562) 431-3541,www.longbeach.gov/park/,,,70589,The Department provides recreational programs for people of all ages in Los Angeles County.,90815,http://egis3.lacounty.gov/lms/?p=70589,publish,2010/11/01 11:50:56+00,,,6524694.65,1747242.307
60,33.73941604,-118.2788831,-118.2788831,33.73941601,64134,211,,Arts and Recreation,Museums and Aquariums,,,Los Angeles Maritime Museum,Berth 84 - Foot of 6th St.,,San Pedro,CA,"Tuesday through Sunday, 10:00am to 5:00pm; last entry at 4:30pm. ","FAX (310) 832-6537,  Administrative (310) 548-7618",www.lamaritimemuseum.org,,,70987,This is a maritime museum for the City of Los Angeles.,90731,http://egis3.lacounty.gov/lms/?p=70987,publish,2014/05/23 13:49:20+00,,,6476877.505,1727665.021
61,34.14833782,-118.2847826,-118.2847827,34.14833779,64291,211,,Arts and Recreation,Museums and Aquariums,,,Los Angeles Zoo,5333 W Zoo Dr,,Los Angeles,CA,"Monday through Sunday, 10:00am to 5:00pm. Closed Christmas Day. ","Service/Intake and Administration (323) 644-4200,  FAX (323) 662-9786, Request Guided Tour/School Tour Service/Intake (323) 644-4211, Volunteer Office Service/Intake (323) 644-4763",www.lazoo.org,,,71086,"The zoo facility provides education services, volunteer opportunities and a public zoo.",90027,http://egis3.lacounty.gov/lms/?p=71086,publish,2014/07/01 11:44:37+00,,,6475505.412,1876485.394
62,34.18985401,-118.1332635,-118.1332636,34.18985398,64435,211,,Arts and Recreation,Museums and Aquariums,,,Altadena Community Center,730 E Altadena Dr,,Altadena,CA,"Monday, Friday, 8:00am to 5:00pm; Tuesday, Wednesday, Thusday, 1:00pm to 10:00pm ","Community Center Service/Intake and Administration (626) 398-6174, Community Center FAX (626) 296-1198, Altadena Town Council Service/Intake and Administration (626) 791-9457, Altadena NAACP Service/Intake and Administration (626) 794-7999, Sheriff's Supp",css.lacounty.gov,,,71171,The agency provides community services for people who live in Altadena and the Los Angeles County area.,91001,http://egis3.lacounty.gov/lms/?p=71171,publish,2010/11/01 11:50:56+00,,,6521369.599,1891498.547
63,34.0558214,-118.2390947,-118.2390948,34.05582137,64570,211,,Arts and Recreation,Museums and Aquariums,,,Chinese American Museum,425 N Los  Angeles St,,Los Angeles,CA,"Tuesday through Sunday, 10:00am to 3:00pm. ","Administration (213) 485-8484,  FAX (213) 485-8238,  Service/Intake (213) 485-8567",www.camla.org,,,71244,"Monday through Friday, 9:00am to 5:00pm.",90012,http://egis3.lacounty.gov/lms/?p=71244,publish,2010/11/01 11:50:56+00,,,6489248.806,1842781.007
64,34.15499518,-118.3021214,-118.3021215,34.15499515,66014,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department of Recreation and Parks,LA Live Steamers,5202 Zoo Dr,,Los Angeles,CA,,,http://laparks.org/dos/parks/parks.htm,,,73940,,,http://egis3.lacounty.gov/parks_lms/?p=73940,publish,2014/07/02 18:53:23+00,,,6470266.606,1878923.433
65,34.15441597,-118.3077326,-118.3077327,34.15441594,66041,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department of Recreation and Parks,Travel Town Museum,Griffith Park Dr. Near Zoo Dr.,,Los Angeles,CA,,,http://laparks.org/dos/parks/parks.htm,,,73967,,,http://egis3.lacounty.gov/parks_lms/?p=73967,publish,2014/07/02 18:53:23+00,,,6468568.358,1878717.799
